,W1,W2,score,,P1,P2,100-3,100-5,100-7,200-3,200-5,200-7,300-3,300-5,300-7,400-3,400-5,400-7,500-3,500-5,500-7,128-3,128-5,128-7,256-3,256-5,256-7,512-3,512-5,512-7
0,love,sex,6.77,,محبت,ملاپ,0.34882808,0.34365547,0.23483068,0.2501024,0.24362896,0.19042653,0.25083014,0.23332714,0.19359402,0.21380608,0.20413736,0.20882362,0.20615005,0.1920859,0.16176352,0.33264163,0.30070376,0.29585665,0.20879549,0.22506317,0.21854025,0.1998134,0.21535426,0.15281978
1,tiger,cat,7.35,,چیتا,بلی,0.47969714,0.29629967,0.36655742,0.3506549,0.29462704,0.29555297,0.3002768,0.31948352,0.31433672,0.29870096,0.28734133,0.29028496,0.27228287,0.25032613,0.24827866,0.31702447,0.34478775,0.35402864,0.28596407,0.25852352,0.3287679,0.2571553,0.26893365,0.22946253
2,tiger,tiger,10,,چیتا,چیتا,1,0.99999994,1,1,1,1,1.0000001,0.99999994,1,1,1,1,1,1,1,1,0.99999994,1,1,1,1,1,1,1
3,book,paper,7.46,,کتاب,کاغذ,0.3155293,0.32851967,0.35381332,0.28530186,0.3266924,0.3110426,0.2338739,0.2973755,0.2762545,0.20253795,0.26530316,0.24157466,0.15770818,0.21513112,0.21393117,0.31735593,0.33353144,0.3239013,0.25995636,0.29724628,0.31069326,0.19781753,0.21460955,0.22642246
4,computer,keyboard,7.62,,کمپیوٹر,کیبورڈ,0.20806651,0.19101042,0.14745823,0.18332121,0.17752214,0.19018784,0.20123158,0.19086453,0.08890275,0.18945372,0.08823891,0.14960073,0.16938126,0.07521588,0.059662588,0.20162721,0.19041097,0.14514665,0.21513484,0.14898518,0.12593783,0.13370278,0.15620144,0.05986041
5,computer,internet,7.58,,کمپیوٹر,انٹرنیٹ,0.5294099,0.53610426,0.5576248,0.4591308,0.47020033,0.44094455,0.39979392,0.38692883,0.38356087,0.36508894,0.3521334,0.37248412,0.35158995,0.35272995,0.34484437,0.5395687,0.5158577,0.5178144,0.44026756,0.40482178,0.39352548,0.32062757,0.34414893,0.33826447
6,plane,car,5.77,,طیارہ,گاڑی,0.5542045,0.5529054,0.55030257,0.4433967,0.42883965,0.4179661,0.4048043,0.3772749,0.37237412,0.3548175,0.30944818,0.31948313,0.30802524,0.29396975,0.28897697,0.5094059,0.5045505,0.4934019,0.44186783,0.3910998,0.37763432,0.32868648,0.30663913,0.2960102
7,train,car,6.31,,ٹرین,گاڑی,0.64409965,0.64171064,0.64939576,0.567589,0.5671907,0.552779,0.5201839,0.5162781,0.49754024,0.47806895,0.47535992,0.4728007,0.4382173,0.4528122,0.44947532,0.6259297,0.635519,0.6356026,0.53892404,0.5478176,0.52109385,0.4473554,0.4529267,0.45672226
8,telephone,communication,7.5,,ٹیلیفون,تبادلہ,0.26188377,0.21920858,0.19583367,0.28836387,0.23463042,0.21828876,0.22802925,0.19835025,0.21771474,0.21379247,0.18215379,0.17757829,0.16087773,0.18217431,0.16962227,0.25933802,0.21519181,0.21410263,0.22371148,0.16647783,0.19097878,0.19911002,0.20028533,0.153155
9,television,radio,6.77,,ٹیلیویژن,ریڈیو,0.71835285,0.6859443,0.6696882,0.607645,0.5861871,0.57247615,0.57751906,0.5212045,0.5183775,0.50865805,0.50900036,0.48691404,0.496314,0.4612122,0.46485907,0.682575,0.6180042,0.63134855,0.5858445,0.55224454,0.52415013,0.48904222,0.47800988,0.44950664
10,media,radio,7.42,,میڈیا,ریڈیو,0.34230295,0.31928962,0.29369906,0.22771198,0.17248745,0.1239857,0.23759893,0.17204493,0.13203827,0.22144784,0.16507778,0.13570118,0.22189786,0.16639328,0.14803049,0.3237456,0.26340133,0.22214642,0.2436251,0.14730735,0.10831502,0.24333659,0.15791303,0.14073566
11,drug,abuse,6.85,,نشہ,گالی,0.38951024,0.3688672,0.32265583,0.31829065,0.28884423,0.2526496,0.27900335,0.24570988,0.2674113,0.20378429,0.27219546,0.21265998,0.21231067,0.23491931,0.19929731,0.30787987,0.32145372,0.28391686,0.30711424,0.28057167,0.26120836,0.23003887,0.20537332,0.2217771
12,bread,butter,6.19,,روٹی,مکھن,0.51194555,0.5530877,0.54635185,0.4298284,0.4618736,0.42314538,0.34980395,0.37269422,0.3692671,0.32679474,0.3250406,0.34464547,0.32701057,0.33148518,0.35501534,0.48957852,0.5145474,0.51631546,0.4234463,0.41315705,0.3871777,0.33721972,0.30561358,0.3515287
13,doctor,nurse,7,,ڈاکٹر,نرس,0.38189742,0.40564886,0.36066848,0.26439047,0.2431448,0.2728395,0.2349075,0.19586423,0.2227038,0.18126756,0.1757917,0.20937687,0.15807937,0.18680671,0.17329514,0.3021799,0.31810343,0.3289849,0.25503257,0.23271264,0.249696,0.14884609,0.15480146,0.15225476
14,professor,doctor,6.62,,پروفیسر,ڈاکٹر,0.8820622,0.86515945,0.8625276,0.80805475,0.8059881,0.807231,0.76845413,0.7753098,0.77277726,0.7398122,0.7314815,0.72445714,0.7156457,0.69729614,0.6959405,0.8542726,0.85635424,0.83698595,0.7894729,0.78126395,0.7889776,0.70953196,0.6986651,0.691476
15,student,professor,6.81,,طالبعلم,پروفیسر,0.4541851,0.43985432,0.43462256,0.37804028,0.36962676,0.38959372,0.32866213,0.30394113,0.31531492,0.29668692,0.27775264,0.2989448,0.28381762,0.23400636,0.2562151,0.43045518,0.42506158,0.4097817,0.35564694,0.36120895,0.35503885,0.2828209,0.25728726,0.26093316
16,smart,student,4.62,,ذہین,طالبعلم,0.36977366,0.34937477,0.3301555,0.22280262,0.24398138,0.23217793,0.22696844,0.20408145,0.23914836,0.19540022,0.20714866,0.191771,0.20888929,0.17348771,0.16994317,0.28395292,0.30560538,0.27151927,0.1974172,0.1970963,0.21712263,0.18607186,0.17325306,0.17434916
17,smart,stupid,5.81,,ذہین,بیوقوف,0.40305483,0.39345428,0.33788562,0.34183472,0.24716401,0.24572417,0.30649793,0.23589464,0.23335333,0.2815173,0.20944446,0.2332643,0.27662927,0.23646569,0.17011471,0.3529821,0.31025913,0.3262436,0.3069301,0.287612,0.17637083,0.2638674,0.20123541,0.20296584
18,company,stock,7.08,,کمپنی,اسٹاک,0.13741502,0.103170544,0.094656035,0.13984437,0.1457176,0.1194177,0.15031101,0.10168127,0.0905893,0.11618923,0.089238524,0.07918693,0.11627079,0.08894477,0.08380728,0.16440141,0.11413048,0.090935566,0.13729216,0.108798526,0.099859074,0.1139895,0.07140334,0.08038888
19,stock,market,8.08,,اسٹاک,مارکیٹ,0.21912144,0.13502216,0.10425131,0.18274553,0.103063904,0.058306146,0.22887234,0.11474246,0.07610502,0.22432387,0.12846453,0.10653269,0.23644222,0.15204413,0.11210407,0.18871325,0.0953867,0.08789106,0.20691146,0.103518754,0.079415396,0.23239183,0.14670843,0.11457147
20,stock,phone,1.62,,سامان,فون,0.25879356,0.2824843,0.32500604,0.28388515,0.25015455,0.2678753,0.2503667,0.2499674,0.24125808,0.23943081,0.22711185,0.21604781,0.24787897,0.24056222,0.21454301,0.24705914,0.26409972,0.27853075,0.25355294,0.2367602,0.23781964,0.25120434,0.23066695,0.22361255
21,stock,CD,1.31,,سامان,سیڈی,-0.13289101,-0.117631346,-0.08361308,-0.054129764,0.084812164,-0.017278187,0.027732376,0.025199562,-0.039850745,0.012639537,0.051637422,0.014362288,-0.034551457,0.015047528,0.042820226,-0.043820634,0.046609644,-0.025511682,-0.037132762,-5.20E-05,0.041206807,-0.049026683,-0.036311224,0.021201205
22,stock,jaguar,0.92,,جانور,تیندوا,0.45651957,0.5162711,0.51729774,0.42705977,0.46031737,0.46660873,0.40877873,0.3783751,0.38032937,0.39566222,0.3299673,0.34967312,0.3694783,0.35720775,0.3494289,0.49295834,0.51774347,0.50430644,0.42948246,0.42288357,0.36157942,0.40357316,0.3251989,0.3637475
23,stock,egg,1.81,,جانور,انڈہ,0.37277853,0.43188256,0.3988654,0.28808847,0.27743813,0.33735543,0.24249522,0.26932704,0.2422675,0.21492906,0.19981992,0.18920034,0.20984161,0.18128943,0.2016311,0.3691036,0.39191258,0.36487216,0.2853743,0.31090724,0.27379957,0.19150731,0.18105164,0.21336223
24,stock,live,3.73,,مویشی,لائیو,0.02408147,-0.005508687,0.06381859,0.035619427,-0.016053164,-0.00443477,0.11930469,0.050572958,0.04974026,0.07552205,0.06762379,0.10133353,0.08279456,0.0759375,0.09845734,-0.006488035,-0.04203883,0.072885975,0.05297237,0.07336434,0.069901325,0.10267351,0.087444395,0.10677891
25,stock,life,0.92,,مویشی,وجود,-0.01616634,0.010918511,-0.03441849,0.05949882,0.045122597,0.07844002,0.07449297,0.1062568,0.09699681,0.08779225,0.0540622,0.07384795,0.117913015,0.070383705,0.04490325,-0.003365941,-0.011074655,-0.03441353,0.039131314,0.05408548,0.064823724,0.07541016,0.08302648,0.052564513
26,money,cash,9.15,,کیش,نقد,0.7120254,0.714687,0.76392543,0.64577824,0.71354496,0.68601453,0.5849929,0.61377954,0.6409593,0.5689966,0.5886911,0.5984186,0.5748922,0.5799664,0.57503974,0.68780214,0.7170162,0.7458255,0.606197,0.6317415,0.6649766,0.56649303,0.57645786,0.5844414
27,professor,cucumber,0.31,,پروفیسر,کھیرا,-0.14493452,-0.05104151,0.003475351,-0.13086653,-0.07194215,-0.06257982,-0.10119529,-0.07417139,-0.024890212,-0.062360637,-0.049944866,-0.07026304,-0.08179682,-0.048703816,-0.0719248,-0.083217725,-0.062019415,-0.015443048,-0.0988076,-0.024724333,-0.0371885,-0.07350497,-0.032406643,-0.056336198
28,king,cabbage,0.23,,بادشاہ,گوبھی,0.02321298,0.021388382,-0.001946743,-0.079442166,-0.045968585,-0.035073828,-0.08050512,-0.079226054,-0.08834295,-0.07482744,-0.05584226,-0.027990118,-0.06974892,-0.03551335,-0.03524936,-0.047969796,0.055491034,-0.012100609,-0.07367532,-0.05801546,-0.058588605,-0.062170915,-0.049173865,-0.039545864
29,king,queen,8.58,,بادشاہ,ملکہ,0.512703,0.4609853,0.456676,0.40856773,0.41952443,0.38880146,0.40931246,0.37106225,0.36469764,0.3559748,0.33566335,0.359855,0.32374388,0.32541037,0.30431437,0.45060956,0.43287265,0.44912082,0.40737545,0.41226083,0.35949844,0.31832004,0.331048,0.32742304
30,bishop,rabbi,6.69,,بشپ,ربی,0.3058693,0.28679496,0.2062072,0.16704737,0.08369973,0.09769838,0.1522448,0.05606425,0.049589194,0.093933366,0.08352558,0.053061962,0.08192983,0.06651177,0.054740943,0.25140387,0.23246984,0.19864678,0.10631896,0.07182261,-0.002293175,0.06858659,0.04626431,0.030544195
31,holy,sex,1.62,,مقدس,جنسی,0.08054499,0.023797093,-0.010043178,0.089134395,0.11250338,0.06519368,0.10459686,0.087224245,0.07698135,0.09448456,0.11655146,0.09203667,0.07270123,0.061071686,0.06633436,0.11227192,0.07463279,0.01158955,0.07428412,0.13851364,0.085924424,0.07226902,0.06065017,0.05577626
32,fuck,sex,9.44,,جسمانی,جنسی,0.5765382,0.54369867,0.5176609,0.47665575,0.43289205,0.39949325,0.43233144,0.41576084,0.39481094,0.38722062,0.38071734,0.35819095,0.3795768,0.36426976,0.34596124,0.5138493,0.49284726,0.46260548,0.46335274,0.41520157,0.4048059,0.38664037,0.34901667,0.32596797
33,football,soccer,9.03,,فٹبال,فٹبال,1,0.99999994,0.99999994,1,1,1,1,1,1,1,1,1,1,0.99999994,1,1,1,1,1,1,1,1,1,1
34,football,tennis,6.63,,فٹبال,ٹینس,0.6583341,0.61243474,0.5294885,0.60058,0.5376214,0.4813705,0.57341945,0.50316775,0.46098647,0.5405045,0.48958236,0.43850282,0.5183314,0.4486317,0.423456,0.6483443,0.58064127,0.52408457,0.5787702,0.5198153,0.4699092,0.5273801,0.45773414,0.4282978
35,tennis,racket,7.56,,ٹینس,ریکٹ,0.16778608,0.20605573,0.16576742,0.09081918,0.11037257,0.16446261,0.10843826,0.13976522,0.12181937,0.0690042,0.066734344,0.10096758,0.07586476,0.08217232,0.11049026,0.11569174,0.15197314,0.17494014,0.07177916,0.12848821,0.1363948,0.06892467,0.11275269,0.11160989
36,Arafat,Jackson,2.5,,عرفات,جیکسن,-0.017260324,-0.18217827,-0.20277311,0.17547497,-0.06012052,-0.011795515,0.11841882,-0.04496125,-0.06239433,0.08888227,-0.030904822,0.032237235,0.12706847,0.02456598,0.009128253,0.18290609,-0.088625945,-0.025518786,0.12039481,0.08298827,0.015226215,0.09478387,0.07470869,0.01623793
37,law,lawyer,8.38,,قانون,وکیل,0.28338194,0.3073698,0.32275614,0.18805039,0.20672153,0.21116285,0.18324444,0.19925502,0.21448244,0.16562651,0.14945373,0.18857767,0.15326722,0.17679091,0.18150243,0.24526498,0.24209586,0.27845803,0.19810665,0.203758,0.19161484,0.15288094,0.16000214,0.18406697
38,movie,star,7.38,,فلم,ستارہ,0.15796277,0.09862097,0.13917258,0.15599644,0.114816256,0.10914505,0.15097259,0.115773775,0.10096063,0.14663695,0.1001918,0.108225174,0.13105841,0.11226453,0.10029347,0.15969554,0.10993927,0.10774973,0.14173952,0.11218062,0.10864839,0.11932507,0.096846044,0.08885257
39,movie,popcorn,6.19,,فلم,مکئی,0.29765695,0.22702254,0.2250647,0.20115583,0.16904157,0.18765435,0.19526641,0.19171004,0.18552193,0.17553528,0.1939318,0.18868735,0.16319169,0.17464447,0.16899477,0.24423307,0.18807724,0.22085841,0.18713768,0.19553083,0.19824967,0.13542193,0.17752567,0.17360502
40,movie,theater,7.92,,فلم,تھیٹر,0.27261975,0.2668393,0.24723077,0.21283369,0.21326055,0.19400914,0.20076694,0.17930023,0.18344873,0.19984363,0.19353165,0.17163059,0.17978549,0.1617106,0.17463824,0.27008727,0.22678016,0.21826117,0.20346053,0.18916523,0.18279713,0.18439853,0.16989636,0.1671643
41,physics,proton,8.12,,طبیعیات,پروٹون,0.14841458,0.2795363,0.2925768,0.10218928,0.18103452,0.23497167,0.115340576,0.19644436,0.18872416,0.14259435,0.1149152,0.19514412,0.13830061,0.13691829,0.16838148,0.16420394,0.2032685,0.26352206,0.10296367,0.15845008,0.18408991,0.09166726,0.1473302,0.12535581
42,physics,chemistry,7.35,,طبیعیات,کیمسٹری,0.30016834,0.28448352,0.32060555,0.26943853,0.26378432,0.28113598,0.22708689,0.26779312,0.29262736,0.25868455,0.26215565,0.2843169,0.23346427,0.24561867,0.27990487,0.28816143,0.30173054,0.3252858,0.25669426,0.23695561,0.26249835,0.23637219,0.24613425,0.24602188
43,space,chemistry,4.88,,جگہ,کیمسٹری,0.23719454,0.21258467,0.22286798,0.2373155,0.17795746,0.19392286,0.21226287,0.18245818,0.20415741,0.17945953,0.18265201,0.15586169,0.15374023,0.14825483,0.14169833,0.2491529,0.19409859,0.18181434,0.21675918,0.20466498,0.23151562,0.15538156,0.15795681,0.15477994
44,alcohol,chemistry,5.54,,شراب,کیمسٹری,0.01729831,-0.028416868,0.000471686,-0.003115947,-0.01734852,0.010756173,0.006196037,-0.0552054,-0.011637554,-0.002264208,-0.003827341,-0.009828863,0.012677498,0.015925681,-0.009538387,-0.012204498,-0.005474597,-0.04016858,0.008452151,0.002668046,-0.025794137,0.004536763,-0.02179889,0.011108698
45,vodka,gin,8.46,,ووڈکا,جین,0.2706289,0.18070765,0.22220789,0.16902646,0.20541991,0.24112993,0.1486547,0.15459466,0.11558697,0.17077269,0.14144635,0.16232666,0.14207792,0.13345952,0.15314707,0.14773771,0.24778163,0.21932226,0.2065489,0.13308729,0.18199107,0.12249594,0.1439045,0.11115128
46,drink,car,3.04,,پینا,گاڑی,0.09327443,0.05649414,0.032663368,0.067288674,0.083734505,0.086967565,0.09239691,0.11173183,0.06633252,0.074896276,0.048214123,0.04771221,0.07093718,0.042394906,0.07850134,0.07260704,0.059607368,0.045958407,0.06554915,0.104689844,0.054845814,0.06909169,0.06734201,0.0470061
47,drink,ear,1.31,,پینا,کان,0.20962611,0.16321144,0.17081833,0.10618846,0.11477322,0.11581509,0.057248995,0.04028934,0.046594944,0.06319564,0.066835135,0.04212652,0.070502326,0.047609434,0.03032488,0.08758328,0.07590792,0.17180732,0.049184952,0.036427364,0.0856635,0.06095928,0.011995148,0.034268107
48,drink,mouth,5.96,,پینا,منہ,0.23335971,0.23726808,0.19783151,0.12598245,0.12626906,0.16897532,0.1608267,0.17650235,0.16358542,0.1315926,0.15239821,0.1568255,0.13073237,0.10647563,0.15234102,0.14026725,0.1873193,0.18028,0.14057559,0.12591612,0.15908681,0.13996202,0.1303063,0.14504045
49,drink,eat,6.87,,پینا,کھایا,0.5111153,0.54699415,0.550078,0.40495396,0.43951547,0.42619574,0.33416885,0.34982345,0.37067354,0.25864714,0.31456146,0.33629805,0.2507797,0.2598796,0.27078083,0.47211608,0.5285363,0.5219033,0.38288862,0.41158304,0.37105036,0.24634011,0.2765706,0.2847641
50,baby,mother,7.85,,بچے,ماں,0.5773321,0.6276401,0.64068675,0.45133027,0.47707075,0.512396,0.40115216,0.40198913,0.40382683,0.3615619,0.34005126,0.37082717,0.33119023,0.33841133,0.33475858,0.55974823,0.57631946,0.595694,0.42030615,0.42712367,0.46128365,0.33215845,0.33977914,0.33867896
51,drink,mother,2.65,,پینا,ماں,0.044853687,-0.00313881,0.04520528,0.116520256,0.07996819,0.032939494,0.070553325,0.064082436,0.054905023,0.07441322,0.083707154,0.05148305,0.07241801,0.05508958,0.06898638,0.10083528,0.12736638,0.07514876,0.08999327,0.060211282,0.04462513,0.053364776,0.06816682,0.0459688
52,car,automobile,8.94,,گاڑی,گاڑی,1,1,1,0.99999994,1,0.99999994,0.99999994,0.99999994,1,1,1,1,1,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994
53,gem,jewel,8.96,,جواہرات,زیور,0.5570426,0.5370894,0.5483185,0.5209187,0.48204732,0.5013863,0.45972034,0.3911371,0.45209664,0.4266156,0.42116022,0.37044793,0.42870235,0.3980652,0.3867174,0.56175077,0.6011491,0.55198133,0.44620782,0.4415937,0.46862966,0.42370063,0.37153485,0.33860147
54,journey,voyage,9.29,,سفر,سفر,1,1,0.99999994,1,1,1,1,1,1,1.0000001,1,1,1,0.99999994,1,1,1,1,1,1,1,1,1,1
55,boy,lad,8.83,,لڑکا,لڑکے,0.62798035,0.6628988,0.69122136,0.58865446,0.62105405,0.63950336,0.5376289,0.593839,0.6184414,0.48209587,0.5500652,0.5640018,0.467787,0.51084507,0.5572909,0.6318874,0.6614376,0.65816784,0.56068796,0.59740585,0.62222457,0.47765824,0.5178629,0.52629584
56,coast,shore,9.1,,ساحل,ساحل,1,1,0.99999994,1,1,1.0000001,1,1,1,1,1,1.0000001,0.99999994,1,1,1,0.99999994,1,1,1,1,1,1,1
57,magician,wizard,9.02,,جادوگر,جادوگر,1,1,1,0.99999994,1.0000001,1,1,1,1,1.0000001,0.99999994,1,1,1,1,0.99999994,1,1,1,1,1,1,1,1
58,midday,noon,9.29,,دوپہر,دوپہر,1,1.0000001,0.99999994,1,1,0.99999994,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994,1,0.99999994,1,1,1,1,1
59,furnace,stove,8.79,,تندور,چولہا,0.30539802,0.30784342,0.3020283,0.29595813,0.29282308,0.25724953,0.3039536,0.24239601,0.27643156,0.24212755,0.27567172,0.23030189,0.27384347,0.2259017,0.15702446,0.2806578,0.3162879,0.31296772,0.31032655,0.321182,0.26071984,0.24304941,0.24533162,0.23813546
60,food,fruit,7.52,,کھانا,پھل,0.61155355,0.59028256,0.59254766,0.4827337,0.48898533,0.4766819,0.42847085,0.41517192,0.3998119,0.385313,0.3731801,0.36826655,0.36559284,0.35079032,0.3501354,0.57497376,0.56015605,0.5450773,0.43166676,0.4387173,0.43208092,0.37878582,0.3656112,0.34411198
61,bird,crane,7.38,,پرندہ,کرین,0.2853422,0.31235105,0.30183244,0.23008464,0.2492145,0.23648167,0.18225195,0.14908627,0.184293,0.13681892,0.123619445,0.097788624,0.10843798,0.10652986,0.08093267,0.26430488,0.30943072,0.31993192,0.2048352,0.22342663,0.20512082,0.12095289,0.14555614,0.12279506
62,brother,monk,6.27,,بھائی,راہب,0.12545821,0.06570175,0.02013413,0.04317621,0.010202927,0.011688137,0.040777672,0.03194521,0.083970465,0.070906445,0.032967225,0.012011343,0.05578256,0.032332186,0.013363488,0.118554704,0.094735086,0.05566911,0.049263008,-0.01680205,0.034382924,0.0367267,0.011433177,0.006745551
63,crane,implement,2.69,,کرین,لاگو,-0.17331728,-0.22432746,-0.2146689,-0.05262588,-0.108832315,-0.12830766,-0.061778743,-0.041664563,-0.039715383,-0.010942504,-0.04690417,-0.046612937,-0.09213536,-0.02689646,-0.025942154,-0.16221759,-0.18096048,-0.13377471,-0.069522254,-0.04953383,-0.09802422,-0.043730225,-0.029610634,-0.014962746
64,lad,brother,4.46,,لڑکے,بھائی,0.3611279,0.35590076,0.3508656,0.28235364,0.2601939,0.27532327,0.25249115,0.25335014,0.24387343,0.25490257,0.2316514,0.22445472,0.25414234,0.24094756,0.24374293,0.3356949,0.34648275,0.32130617,0.2549211,0.26250523,0.22318502,0.24362847,0.2107625,0.21424545
65,journey,car,5.85,,سفر,گاڑی,0.19220567,0.21500373,0.2411683,0.126153,0.1539913,0.17264315,0.13670434,0.14853996,0.1554901,0.09988792,0.11468471,0.139479,0.10382989,0.10451363,0.118034504,0.16579983,0.20057335,0.22912979,0.11862689,0.14931813,0.15793556,0.09432482,0.11087998,0.12552533
66,monk,oracle,5,,منک,اوریکل,0.21171142,0.22370097,0.14337288,0.1459265,0.11412623,0.07127276,0.04265359,0.026875187,0.08335051,0.0678407,0.02366686,0.023648748,0.018246364,0.030297352,0.024220118,0.106567316,0.15985928,0.07342314,0.045383826,0.053081084,0.03746429,0.08429329,0.030765876,-0.041500468
67,food,rooster,4.42,,کھانا,مرغ,0.36602867,0.4167377,0.39557642,0.20773771,0.23604451,0.26318714,0.22226349,0.19672562,0.22751728,0.22220945,0.18435279,0.18514106,0.2056468,0.14033215,0.18037923,0.30405515,0.37030303,0.38422275,0.23335989,0.23981404,0.24646944,0.21462974,0.13657132,0.16016822
68,coast,hill,4.38,,ساحل,پہاڑی,0.5376949,0.57662225,0.5591712,0.39256376,0.43004626,0.42810354,0.35872853,0.3723748,0.37668622,0.31180727,0.30020812,0.31788513,0.3024201,0.27168933,0.3109854,0.45619702,0.5291533,0.53781015,0.38768733,0.3365242,0.37015092,0.27731878,0.2809434,0.28757334
69,forest,graveyard,1.85,,جنگل,قبرستان,0.33548057,0.33912447,0.29972035,0.3511372,0.30863225,0.23899257,0.28977886,0.30200034,0.26984647,0.24490331,0.25730938,0.22522546,0.24979044,0.20479333,0.19883378,0.37987807,0.28552645,0.30281562,0.30256304,0.28674868,0.24631174,0.24279371,0.21358305,0.18227945
70,coast,forest,3.15,,ساحل,جنگل,0.26837018,0.3336228,0.33404577,0.24171036,0.29183748,0.28687298,0.23825422,0.2681263,0.21248457,0.23250529,0.19570461,0.18974864,0.19660024,0.19443418,0.18337488,0.28249788,0.2597972,0.32058007,0.26042905,0.20484656,0.25128537,0.1954697,0.19230208,0.21999177
71,lad,wizard,0.92,,لڑکے,جادوگر,0.109486915,0.05832077,-0.021779686,0.18492542,0.05165678,0.020518042,0.12508523,0.04973049,0.04357096,0.13546039,0.0635431,0.06935033,0.10369816,0.055104543,0.042555008,0.1351969,0.02977306,0.046106666,0.121074595,0.07550055,0.03127989,0.10655052,0.08347201,0.033485167
